ISO3,ID,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,OCHA_comments
SSD,8597.0,add,Social distancing,Limit public gatherings,"There is a ban on all passenger bodabodas, bodabodas shall be limited to transport of cargo. Bodabodas carrying passengers will be impounded by the police. ||targeted pop group: No|non compliance: Other (add in comments)",South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1255190594600800258/photo/1|,1588032000000000000,,,,,,,
SSD,8598.0,add,Social distancing,Limit public gatherings,Only one passenger is allowed on a raksha at one time||targeted pop group: No|non compliance: Not available,South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1255190594600800258/photo/1|,1588032000000000000,,,,,,,
SSD,8599.0,add,Social distancing,Limit public gatherings,"Noaha taxis, mutatus and buses shall operate at half of their capacity only.||targeted pop group: No|non compliance: Not available",South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1255190594600800258/photo/1|,1588032000000000000,,,,,,,
SSD,8600.0,add,Social distancing,Closure of businesses and public services,Closure of all bars. ||targeted pop group: No|non compliance: Not available,South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1255190594600800258/photo/1|,1588032000000000000,,,,,,,
SSD,8601.0,add,Social distancing,Limit public gatherings,Restaurants may only provide take away. Violators will be prosecuted. ||targeted pop group: No|non compliance: Up to detention,South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1255190594600800258/photo/1|,1588032000000000000,,,,,,,
SSD,9634.0,remove,Social distancing,Limit public gatherings,"Agro dealers and hardware stores are granted permission to open for business between 8am and 1pm to supply seeds, tools and parts for cultivation.||targeted pop group: Yes|non compliance: Not applicable",South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1257169750876139520?s=20|,1588464000000000000,,,,,,,
SSD,9635.0,remove,Movement restrictions,Domestic travel restrictions,Permission is granted for farmers with land within 15km radius of the suburbs of Juba city to attend to farms during day without restrictions so long as they return home before curfew.||targeted pop group: Yes|non compliance: Not applicable,South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1257169750876139520?s=20|,1588464000000000000,,,,,,,
SSD,9637.0,add,Movement restrictions,Curfews,The curfew time will be altered to allow more freedom: It will now be from 10pm - 6am (was from 8pm-6am)||targeted pop group: No|non compliance: Not applicable,South Sudan Government|source type: Government|link: https://twitter.com/SouthSudanGov/status/1258431679275978752/photo/2|,1588896000000000000,,,,,,,
SSD,9638.0,remove,Social distancing,Closure of businesses and public services,Restuarants and bars will open during non-curfew hours but must abide by strict social distancing rules||targeted pop group: No|non compliance: Not applicable,South Sudan Government|source type: Government|link: https://twitter.com/SouthSudanGov/status/1258431679275978752/photo/2|,1588896000000000000,,,,,,,
SSD,9639.0,remove,Social distancing,Closure of businesses and public services,Shops and stores will re-open but under strict social distancing rules and with a maximum of 5 people in store at one time. ||targeted pop group: No|non compliance: Not applicable,South Sudan Government|source type: Government|link: https://twitter.com/SouthSudanGov/status/1258431679275978752/photo/2|,1588896000000000000,,,,,,,
SSD,9640.0,remove,Social distancing,Limit public gatherings,Boda boda and rickshaw drivers may resume business with max one passenger on a boda boda and two passengers on a rickshaw. However both rider and driver must wear masks.||targeted pop group: Yes|non compliance: Not applicable,South Sudan Government|source type: Government|link: https://twitter.com/SouthSudanGov/status/1258431679275978752/photo/2|,1588896000000000000,,,,,,,
SSD,10521.0,add,Movement restrictions,Border closure ,South Sudan has closed all of it's borders to contain the spread of covid-19. ||targeted pop group: No|non compliance: Not available,Radio Tamazuj|source type: Media|link: https://radiotamazuj.org/en/news/article/south-sudan-closes-airports-and-borders-over-coronavirus-fears|alternative source: https://www.gov.uk/foreign-travel-advice/south-sudan/coronavirus,1584921600000000000,,,,,,,
SSD,10701.0,add,Social distancing,Limit public gatherings,Both public and private businesses shall observe a strict 8 hour work day from 9:00-17:00 with  two weeks in two weeks out of 50% of the workforce to ensure social distancing. ||targeted pop group: Yes|non compliance: Not available,South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1260350047457357824/photo/3|,1589241600000000000,,,,,,,
SSD,10702.0,add,Public health measures,Amendments to funeral and burial regulations,Family members of deceased covid-19 infected persons are advised to conduct burial according to strict protocol guided by health care professionals. They are also informed not to bring remains to ancestral homes for burial in order to protect family members from the disease. ||targeted pop group: No|non compliance: Not applicable,South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1261163181952696320/photo/2|,1589414400000000000,,,,,,,
SSD,10705.0,remove,Movement restrictions,International flights suspension,"South Sudan’s Civil Aviation Authority reopened airports and the country’s airspace is now open for domestic, regional and international flights. However, travelers are advised to read the strict guidelines which will be given to all our booking centers before booking.||targeted pop group: No|non compliance: Not applicable",Radio Tamazuj|source type: Media|link: https://radiotamazuj.org/en/news/article/south-sudan-reopens-airports-amid-rise-in-covid-19-cases|,1589241600000000000,,,,,,,
SSD,10706.0,remove,Movement restrictions,Domestic travel restrictions,"South Sudan’s Civil Aviation Authority reopened airports and the country’s airspace is now open for domestic, regional and international flights. However, travelers are advised to read the strict guidelines which will be given to all our booking centers before booking.||targeted pop group: No|non compliance: Not applicable",Radio Tamazuj|source type: Media|link: https://radiotamazuj.org/en/news/article/south-sudan-reopens-airports-amid-rise-in-covid-19-cases|,1589241600000000000,,,,,,,
SSD,10707.0,add,Public health measures,Isolation and quarantine policies,"Travellers in South Sudan must observe a verifiable 14 day quarantine in country OR they must provide proof that the are COVID-19 free, valid within 2 weeks of their arrival. ||targeted pop group: No|non compliance: Not available",South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1260736239038275584/photo/3|,1589328000000000000,,,,,,,
,,,,,,,2020-05-08,,['SS'],50.0,Yes,Yes,10701 - 9640 - 9639 - 9638,
,,,,,,,2020-04-29,,['SS'],50.0,Yes,Yes,8595,
,,,,,,,2020-03-20,,['SS'],100.0,Yes,Yes,1754,
,,,,,,,2020-04-05,43963.0,['SS'],50.0,Yes,Yes,5415 - 10706,
